Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATO2023 TAS-VEP-018,Papua New Guinea,PNG,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Philippines,PHL,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76904,0.858345,0.939794,1.026104,1.130081,1.222801,1.275625,1.343421,1.421764,1.520684,1.685951,1.717243,1.823563,1.822252,1.811842,1.818738,1.820221,1.898581,1.735728,1.78288,1.804896,1.826237,1.87008,2.009442,1.999145,2.14377,2.219348,2.32783,2.203679,2.365724,2.58009
ATO2023 TAS-VEP-018,Republic of Korea,KOR,South Korea,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144193,0.146179,0.147334,0.146896,0.148305,0.144338,0.141074,0.140336
ATO2023 TAS-VEP-018,Samoa,WSM,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000712,0.000732,0.001052,0.001656,0.00183,,,,,,,0.000219,,0.00027,0.000263,0.000236,,,,0.000271,,,,,
ATO2023 TAS-VEP-018,Singapore,SGP,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009448,0.009478,0.009658,0.009716,0.010198,0.010723,0.010998,0.01124,0.011429,0.011827,0.012569,0.012902,0.012992,0.012951,0.013173,0.013494,0.01412,0.01453,0.015327,0.016023,0.016309,0.017046,0.017162,0.017509,0.017554,0.018183,0.018804,0.019285,0.019379,0.019661,0.019251,0.018846,0.018239
ATO2023 TAS-VEP-018,Solomon Islands,SLB,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Sri Lanka,LKA,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08105,0.081789,0.08428,0.088528,0.091623,0.093428,0.097279,0.101419,0.104104,0.107435,0.110392,0.112005,0.112583,0.112864,
ATO2023 TAS-VEP-018,Tajikistan,TJK,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Thailand,THA,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093971,0.099028,0.102509,0.107411,0.110865,0.112138,0.114617,0.115115,0.119884,,0.122187,0.13027,0.13338,0.131511,0.072359,0.121102,0.130281,0.13276,0.134225,0.134928,0.138063,0.127543,0.13912,0.141058,0.145793,0.153757,0.157799,0.159897,0.163628,0.165635,0.152176,0.14089,
ATO2023 TAS-VEP-018,Timor-Leste,TLS,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
