sector,subsector,technology,input,Mode,Technology,Fuel,service,service_unit
trn_freight_road,Truck (9-16t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (9-16t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (0-1t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (0-1t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (1-6t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (1-6t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (6-30t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (6-30t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (6-15t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (6-15t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (1-6t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (1-6t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck,Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck,NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,3W Rural,Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,3W Rural,NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (0-6t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (0-6t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (6-14t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (6-14t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (>14t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (>14t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (0-2.7t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (2.7-4.5t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (4.5-12t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (>12t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (0-4.5t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (4.5-15t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (>15t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (0-3.5t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (3.5-16t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (16-32t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (>32t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (0-2t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (2-5t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (5-9t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (9-16t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (0-1t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (1-6t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (6-30t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (6-15t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (1-6t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck,BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (0-6t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (6-14t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight_road,Truck (>14t),BEV,elect_td_trn,HDT,Electric,Electricity,tkm,bn tkm/yr
trn_freight,Domestic Ship,Liquids,refined liquids enduse,Domestic Shipping,Liquids,Total Liquids,tkm,bn tkm/yr
trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,Aviation,Liquids,Total Liquids,pkm,bn pkm/yr
trn_shipping_intl,International Ship,Liquids,refined liquids enduse,International Shipping,Liquids,Total Liquids,tkm,bn tkm/yr
