"Mode","Technology","Fuel","Variable"
"HDT","Hydrogen","Hydrogen","ttw_pm2.5"
"HDT","NG","Natural Gas","ttw_pm2.5"
"HDT","PHEV","Fossil Liquids","ttw_pm2.5"
"HDT","PHEV","Biomass Liquids","ttw_pm2.5"
"HDT","PHEV","Electricity","ttw_pm2.5"
"International Shipping","Liquids","Fossil Liquids","ttw_pm2.5"
"International Shipping","Liquids","Biomass Liquids","ttw_pm2.5"
"International Shipping","Hydrogen","Hydrogen","ttw_pm2.5"
"International Shipping","NG","Natural Gas","ttw_pm2.5"
"LDV","Liquids","Fossil Liquids","ttw_pm2.5"
"LDV","Liquids","Biomass Liquids","ttw_pm2.5"
"LDV","Electric","Electricity","ttw_pm2.5"
"LDV","Hydrogen","Hydrogen","ttw_pm2.5"
"LDV","NG","Natural Gas","ttw_pm2.5"
"LDV","PHEV","Fossil Liquids","ttw_pm2.5"
"LDV","PHEV","Biomass Liquids","ttw_pm2.5"
"LDV","PHEV","Electricity","ttw_pm2.5"
"Passenger Rail","Liquids","Fossil Liquids","ttw_pm2.5"
"Passenger Rail","Liquids","Biomass Liquids","ttw_pm2.5"
"Passenger Rail","Electric","Electricity","ttw_pm2.5"
"Passenger Rail","Hydrogen","Hydrogen","ttw_pm2.5"
"Passenger Rail","NG","Natural Gas","ttw_pm2.5"
"2W and 3W","Hydrogen","Hydrogen","vkt"
"2W and 3W","PHEV","Total Liquids","vkt"
"2W and 3W","PHEV","Electricity","vkt"
"Aviation","Hydrogen","Hydrogen","vkt"
"Bus","Electric","Electricity","vkt"
"Bus","Hydrogen","Hydrogen","vkt"
"Bus","PHEV","Total Liquids","vkt"
"Bus","PHEV","Electricity","vkt"
"Domestic Shipping","Hydrogen","Hydrogen","vkt"
"Domestic Shipping","NG","Natural Gas","vkt"
"Freight Rail","Hydrogen","Hydrogen","vkt"
"Freight Rail","NG","Natural Gas","vkt"
"HDT","Hydrogen","Hydrogen","vkt"
"HDT","PHEV","Total Liquids","vkt"
"HDT","PHEV","Electricity","vkt"
"International Shipping","Hydrogen","Hydrogen","vkt"
"International Shipping","NG","Natural Gas","vkt"
"LDV","PHEV","Total Liquids","vkt"
"LDV","PHEV","Electricity","vkt"
"Passenger Rail","Hydrogen","Hydrogen","vkt"
"Passenger Rail","NG","Natural Gas","vkt"
"2W and 3W","Hydrogen","Hydrogen","wtt_co2e"
"2W and 3W","PHEV","Fossil Liquids","wtt_co2e"
"2W and 3W","PHEV","Biomass Liquids","wtt_co2e"
"2W and 3W","PHEV","Electricity","wtt_co2e"
"Aviation","Hydrogen","Hydrogen","wtt_co2e"
"Bus","Electric","Electricity","wtt_co2e"
"Bus","Hydrogen","Hydrogen","wtt_co2e"
"Bus","PHEV","Fossil Liquids","wtt_co2e"
"Bus","PHEV","Biomass Liquids","wtt_co2e"
"Bus","PHEV","Electricity","wtt_co2e"
"Domestic Shipping","Hydrogen","Hydrogen","wtt_co2e"
"Domestic Shipping","NG","Natural Gas","wtt_co2e"
"Freight Rail and Air and Ship","Coal","Coal","wtt_co2e"
"Freight Rail and Air and Ship","Liquids","Fossil Liquids","wtt_co2e"
"Freight Rail and Air and Ship","Liquids","Biomass Liquids","wtt_co2e"
"Freight Rail and Air and Ship","Electric","Electricity","wtt_co2e"
"Freight Rail and Air and Ship","Hydrogen","Hydrogen","wtt_co2e"
"Freight Rail and Air and Ship","NG","Natural Gas","wtt_co2e"
"Freight Rail","Hydrogen","Hydrogen","wtt_co2e"
"Freight Rail","NG","Natural Gas","wtt_co2e"
"HDT","Hydrogen","Hydrogen","wtt_co2e"
"HDT","PHEV","Fossil Liquids","wtt_co2e"
"HDT","PHEV","Biomass Liquids","wtt_co2e"
"HDT","PHEV","Electricity","wtt_co2e"
"International Shipping","Hydrogen","Hydrogen","wtt_co2e"
"International Shipping","NG","Natural Gas","wtt_co2e"
"LDV","PHEV","Fossil Liquids","wtt_co2e"
"LDV","PHEV","Biomass Liquids","wtt_co2e"
"LDV","PHEV","Electricity","wtt_co2e"
"Passenger Rail","Hydrogen","Hydrogen","wtt_co2e"
"Passenger Rail","NG","Natural Gas","wtt_co2e"
