# Source: 2010 year from 2012 edition of IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
twn,DOMESNAV,Total of all energy sources,265
col,MARBUNK,Total of all energy sources,642
col,AVBUNK,Total of all energy sources,700
col,DOMESAIR,Total of all energy sources,33
col,ROAD,Total of all energy sources,7059
col,RAIL,Total of all energy sources,41
col,DOMESNAV,Total of all energy sources,233
cog,MARBUNK,Total of all energy sources,0
cog,AVBUNK,Total of all energy sources,64
cog,DOMESAIR,Total of all energy sources,16
cog,ROAD,Total of all energy sources,455
cod,MARBUNK,Total of all energy sources,0
cod,AVBUNK,Total of all energy sources,157
cod,ROAD,Total of all energy sources,258
cri,AVBUNK,Total of all energy sources,166
cri,DOMESAIR,Total of all energy sources,5
cri,ROAD,Total of all energy sources,1513
cri,RAIL,Total of all energy sources,0
cri,DOMESNAV,Total of all energy sources,2
civ,MARBUNK,Total of all energy sources,14
civ,AVBUNK,Total of all energy sources,43
civ,ROAD,Total of all energy sources,348
civ,RAIL,Total of all energy sources,34
civ,DOMESNAV,Total of all energy sources,40
cub,MARBUNK,Total of all energy sources,30
cub,AVBUNK,Total of all energy sources,146
cub,ROAD,Total of all energy sources,431
cub,RAIL,Total of all energy sources,22
cub,DOMESNAV,Total of all energy sources,45
cyp,MARBUNK,Total of all energy sources,182
cyp,AVBUNK,Total of all energy sources,277
cyp,ROAD,Total of all energy sources,760
cyp,RAIL,Total of all energy sources,0
dom,AVBUNK,Total of all energy sources,100
dom,ROAD,Total of all energy sources,1415
ecu,MARBUNK,Total of all energy sources,976
ecu,AVBUNK,Total of all energy sources,346
ecu,DOMESAIR,Total of all energy sources,4
ecu,ROAD,Total of all energy sources,4157
ecu,RAIL,Total of all energy sources,0
ecu,DOMESNAV,Total of all energy sources,752
egy,MARBUNK,Total of all energy sources,430
egy,AVBUNK,Total of all energy sources,861
egy,DOMESAIR,Total of all energy sources,592
egy,ROAD,Total of all energy sources,11990
egy,DOMESNAV,Total of all energy sources,389
slv,AVBUNK,Total of all energy sources,115
slv,ROAD,Total of all energy sources,857
eri,MARBUNK,Total of all energy sources,0
eri,AVBUNK,Total of all energy sources,1
eri,ROAD,Total of all energy sources,46
eth,MARBUNK,Total of all energy sources,0
eth,AVBUNK,Total of all energy sources,341
eth,ROAD,Total of all energy sources,880
eth,RAIL,Total of all energy sources,0
eth,DOMESNAV,Total of all energy sources,0
gab,MARBUNK,Total of all energy sources,293
gab,AVBUNK,Total of all energy sources,61
gab,ROAD,Total of all energy sources,199
gab,RAIL,Total of all energy sources,1
gha,MARBUNK,Total of all energy sources,99
gha,AVBUNK,Total of all energy sources,120
gha,ROAD,Total of all energy sources,1519
gha,RAIL,Total of all energy sources,56
gha,DOMESNAV,Total of all energy sources,65
